eps_xx,sigma_xx_MPa,time,U1_raw
2.55516804e-03,2.98539648e+02,0.548453,2.69630505e-03
2.56499536e-03,2.98988726e+02,0.550563,2.70613236e-03
2.57664248e-03,2.99521736e+02,0.553062,2.71777948e-03
2.58828960e-03,3.00054656e+02,0.555562,2.72942660e-03
2.59993672e-03,3.00586194e+02,0.558062,2.74107372e-03
2.61158384e-03,3.01117098e+02,0.560562,2.75272084e-03
2.62323096e-03,3.01647594e+02,0.563062,2.76436796e-03
2.63487831e-03,3.02177842e+02,0.565562,2.77601532e-03
2.64652543e-03,3.02707590e+02,0.568062,2.78766244e-03
2.65817255e-03,3.03236954e+02,0.570562,2.79930956e-03
2.66981967e-03,3.03765911e+02,0.573062,2.81095668e-03
2.68146679e-03,3.04294414e+02,0.575562,2.82260380e-03
2.69311391e-03,3.04820766e+02,0.578062,2.83425092e-03
2.70476127e-03,3.05343471e+02,0.580562,2.84589827e-03
2.71640839e-03,3.05864252e+02,0.583063,2.85754539e-03
2.71932017e-03,3.05993637e+02,0.583687,2.86045717e-03
2.72368784e-03,3.06187455e+02,0.584625,2.86482484e-03
2.73023923e-03,3.06478612e+02,0.586031,2.87137623e-03
2.74006654e-03,3.06916321e+02,0.588141,2.88120355e-03
2.75171366e-03,3.07434475e+02,0.590641,2.89285067e-03
2.76336102e-03,3.07946377e+02,0.593141,2.90449802e-03
2.77500814e-03,3.08457283e+02,0.595641,2.91614514e-03
2.78665526e-03,3.08964928e+02,0.598141,2.92779226e-03
2.79830238e-03,3.09469810e+02,0.600641,2.93943938e-03
2.80994950e-03,3.09972835e+02,0.603141,2.95108650e-03
2.82159662e-03,3.10473006e+02,0.605641,2.96273362e-03
2.83324397e-03,3.10971479e+02,0.608141,2.97438097e-03
2.84489109e-03,3.11464290e+02,0.610641,2.98602809e-03
2.85653821e-03,3.11950850e+02,0.613141,2.99767521e-03
2.85944999e-03,3.12071652e+02,0.613766,3.00058699e-03
2.86381766e-03,3.12252561e+02,0.614703,3.00495466e-03
2.87036928e-03,3.12521138e+02,0.616109,3.01150628e-03
2.88019636e-03,3.12922702e+02,0.618219,3.02133337e-03
2.89184372e-03,3.13394020e+02,0.620719,3.03298072e-03
2.90349084e-03,3.13857004e+02,0.623219,3.04462784e-03
2.91513796e-03,3.14315843e+02,0.625719,3.05627496e-03
2.92678508e-03,3.14771716e+02,0.628219,3.06792208e-03
2.93843220e-03,3.15218326e+02,0.630719,3.07956920e-03
2.95007932e-03,3.15663169e+02,0.633219,3.09121632e-03
2.96172667e-03,3.16099406e+02,0.635719,3.10286367e-03
2.97337379e-03,3.16532224e+02,0.638219,3.11451079e-03
2.98502091e-03,3.16959470e+02,0.640719,3.12615791e-03
2.99666803e-03,3.17375007e+02,0.643219,3.13780503e-03
3.00831515e-03,3.17781802e+02,0.645719,3.14945215e-03
3.01996227e-03,3.18184317e+02,0.648219,3.16109927e-03
3.03160962e-03,3.18578204e+02,0.650719,3.17274663e-03
3.04325674e-03,3.18966179e+02,0.653219,3.18439375e-03
3.04616852e-03,3.19061049e+02,0.653844,3.18730553e-03
3.05053619e-03,3.19202098e+02,0.654781,3.19167320e-03
3.05708758e-03,3.19412426e+02,0.656187,3.19822459e-03
3.05954441e-03,3.19490062e+02,0.656715,3.20068141e-03
3.06322965e-03,3.19606493e+02,0.657506,3.20436666e-03
3.06875752e-03,3.19780630e+02,0.658692,3.20989452e-03
