eps_xx,sigma_xx_MPa,time,U1_raw
2.23443931e-03,1.33988194e+02,0.477562,-9.44402360e-04
2.24613643e-03,1.34428723e+02,0.480063,-9.32705239e-04
2.25783355e-03,1.34868063e+02,0.482563,-9.21008119e-04
2.26953061e-03,1.35306350e+02,0.485063,-9.09311057e-04
2.28122773e-03,1.35743448e+02,0.487563,-8.97613936e-04
2.29292485e-03,1.36178745e+02,0.490063,-8.85916816e-04
2.30462191e-03,1.36613340e+02,0.492563,-8.74219753e-04
2.31631903e-03,1.37047064e+02,0.495063,-8.62522633e-04
2.32801615e-03,1.37479711e+02,0.497562,-8.50825512e-04
2.33971328e-03,1.37911328e+02,0.500063,-8.39128392e-04
2.35141034e-03,1.38342005e+02,0.502563,-8.27431330e-04
2.36310746e-03,1.38771913e+02,0.505063,-8.15734209e-04
2.37480458e-03,1.39201061e+02,0.507563,-8.04037089e-04
2.38650164e-03,1.39629530e+02,0.510063,-7.92340026e-04
2.39819876e-03,1.40057343e+02,0.512563,-7.80642906e-04
2.40989588e-03,1.40484317e+02,0.515063,-7.68945785e-04
2.42159300e-03,1.40910634e+02,0.517563,-7.57248665e-04
2.43329006e-03,1.41336499e+02,0.520063,-7.45551602e-04
2.44498719e-03,1.41761922e+02,0.522563,-7.33854482e-04
2.45668431e-03,1.42186779e+02,0.525063,-7.22157361e-04
2.46838143e-03,1.42610866e+02,0.527562,-7.10460241e-04
2.48007849e-03,1.43034443e+02,0.530062,-6.98763179e-04
2.49177561e-03,1.43457454e+02,0.532562,-6.87066058e-04
2.50347273e-03,1.43879955e+02,0.535062,-6.75368938e-04
2.51516979e-03,1.44301834e+02,0.537562,-6.63671875e-04
2.52686691e-03,1.44723316e+02,0.540062,-6.51974755e-04
2.53856403e-03,1.45144244e+02,0.542562,-6.40277634e-04
2.55026115e-03,1.45564695e+02,0.545062,-6.28580514e-04
2.56195822e-03,1.45984830e+02,0.547562,-6.16883452e-04
2.57365534e-03,1.46404772e+02,0.550062,-6.05186331e-04
2.58535246e-03,1.46824318e+02,0.552562,-5.93489211e-04
2.59704952e-03,1.47243762e+02,0.555062,-5.81792148e-04
2.60874664e-03,1.47662708e+02,0.557562,-5.70095028e-04
2.62044376e-03,1.48081495e+02,0.560063,-5.58397907e-04
2.63214088e-03,1.48500192e+02,0.562563,-5.46700787e-04
2.64383794e-03,1.48918504e+02,0.565063,-5.35003725e-04
2.65553506e-03,1.49336362e+02,0.567563,-5.23306604e-04
2.66723218e-03,1.49753723e+02,0.570063,-5.11609484e-04
2.67892925e-03,1.50170993e+02,0.572563,-4.99912421e-04
2.69062637e-03,1.50587651e+02,0.575063,-4.88215301e-04
2.70232349e-03,1.51004151e+02,0.577563,-4.76518180e-04
