eps_xx,sigma_xx_MPa,time,U1_raw
2.31867232e-03,2.84675653e+02,0.481438,2.30252813e-03
2.33071269e-03,2.84638330e+02,0.483938,2.31456850e-03
2.34275306e-03,2.84583546e+02,0.486437,2.32660887e-03
2.35479343e-03,2.84516350e+02,0.488937,2.33864924e-03
2.36683380e-03,2.84432577e+02,0.491437,2.35068961e-03
2.37887417e-03,2.84337367e+02,0.493937,2.36272998e-03
2.39091454e-03,2.84226530e+02,0.496437,2.37477035e-03
2.40295491e-03,2.84105003e+02,0.498937,2.38681072e-03
2.41499528e-03,2.83968461e+02,0.501437,2.39885109e-03
2.42703566e-03,2.83822112e+02,0.503937,2.41089147e-03
2.43907603e-03,2.83661768e+02,0.506437,2.42293184e-03
2.45111640e-03,2.83492228e+02,0.508937,2.43497221e-03
2.46315677e-03,2.83309440e+02,0.511437,2.44701258e-03
2.47519714e-03,2.83118272e+02,0.513937,2.45905295e-03
2.48723751e-03,2.82914919e+02,0.516437,2.47109332e-03
2.49927788e-03,2.82703821e+02,0.518938,2.48313369e-03
2.51131825e-03,2.82481354e+02,0.521438,2.49517406e-03
2.52335862e-03,2.82251912e+02,0.523938,2.50721443e-03
2.53539899e-03,2.82012097e+02,0.526438,2.51925481e-03
2.54743937e-03,2.81765964e+02,0.528938,2.53129518e-03
2.55947974e-03,2.81510114e+02,0.531438,2.54333555e-03
2.57151988e-03,2.81248512e+02,0.533938,2.55537569e-03
2.58356025e-03,2.80977965e+02,0.536438,2.56741606e-03
2.59560062e-03,2.80702389e+02,0.538938,2.57945643e-03
2.60764099e-03,2.80420223e+02,0.541438,2.59149680e-03
2.61968136e-03,2.80129791e+02,0.543938,2.60353717e-03
2.63172173e-03,2.79835418e+02,0.546438,2.61557754e-03
2.64376210e-03,2.79535700e+02,0.548937,2.62761791e-03
2.65580247e-03,2.79228894e+02,0.551437,2.63965828e-03
2.66784284e-03,2.78918826e+02,0.553937,2.65169865e-03
2.67988322e-03,2.78604093e+02,0.556437,2.66373903e-03
2.69192359e-03,2.78284536e+02,0.558937,2.67577940e-03
2.70396396e-03,2.77960427e+02,0.561437,2.68781977e-03
2.71600433e-03,2.77632196e+02,0.563937,2.69986014e-03
2.72804470e-03,2.77300251e+02,0.566437,2.71190051e-03
2.74008507e-03,2.76964863e+02,0.568937,2.72394088e-03
2.75212544e-03,2.76626237e+02,0.571437,2.73598125e-03
2.76416581e-03,2.76284621e+02,0.573937,2.74802162e-03
2.77620618e-03,2.75940084e+02,0.576437,2.76006199e-03
2.78824655e-03,2.75592739e+02,0.578937,2.77210237e-03
2.80028693e-03,2.75242857e+02,0.581438,2.78414274e-03
2.81232730e-03,2.74890461e+02,0.583938,2.79618311e-03
2.82436767e-03,2.74535619e+02,0.586438,2.80822348e-03
2.83640781e-03,2.74178354e+02,0.588938,2.82026362e-03
2.84844818e-03,2.73818642e+02,0.591438,2.83230399e-03
2.86048855e-03,2.73456576e+02,0.593938,2.84434436e-03
2.87252892e-03,2.73092562e+02,0.596438,2.85638473e-03
2.88456929e-03,2.72726487e+02,0.598938,2.86842510e-03
2.89660966e-03,2.72358396e+02,0.601438,2.88046547e-03
2.90865003e-03,2.71988607e+02,0.603938,2.89250584e-03
2.92069040e-03,2.71617187e+02,0.606438,2.90454621e-03
2.93273077e-03,2.71244272e+02,0.608938,2.91658659e-03
2.94477115e-03,2.70869886e+02,0.611437,2.92862696e-03
2.95681152e-03,2.70494208e+02,0.613937,2.94066733e-03
2.96885189e-03,2.70117307e+02,0.616437,2.95270770e-03
2.98089226e-03,2.69739410e+02,0.618937,2.96474807e-03
2.99293263e-03,2.69360562e+02,0.621437,2.97678844e-03
3.00497300e-03,2.68980831e+02,0.623937,2.98882881e-03
3.01701337e-03,2.68600306e+02,0.626437,3.00086918e-03
3.02905374e-03,2.68219284e+02,0.628937,3.01290955e-03
3.04109411e-03,2.67837944e+02,0.631437,3.02494993e-03
3.05313449e-03,2.67456356e+02,0.633937,3.03699030e-03
3.06517486e-03,2.67074405e+02,0.636437,3.04903067e-03
3.07721523e-03,2.66692408e+02,0.638937,3.06107104e-03
3.08925560e-03,2.66310503e+02,0.641437,3.07311141e-03
3.10129574e-03,2.65928733e+02,0.643938,3.08515155e-03
3.11333611e-03,2.65547235e+02,0.646438,3.09719192e-03
3.12537648e-03,2.65165782e+02,0.648938,3.10923229e-03
3.13741685e-03,2.64784896e+02,0.651438,3.12127266e-03
3.14945722e-03,2.64404394e+02,0.653938,3.13331303e-03
3.16149759e-03,2.64024549e+02,0.656438,3.14535340e-03
3.17353796e-03,2.63645452e+02,0.658938,3.15739377e-03
3.18557833e-03,2.63266898e+02,0.661438,3.16943415e-03
