kind,step,phase,item,value,x,y,z,basis,verdict
profile,Manufacturing_Cooling,ALL,x_070_080pct,0.0377107,,,,"volume-weighted mean DAMG, x in [1.571, 1.919] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_080_090pct,0.0264734,,,,"volume-weighted mean DAMG, x in [1.919, 2.267] mm",interior_dominant
profile,Manufacturing_Cooling,ALL,x_090_100pct,0.00684992,,,,"volume-weighted mean DAMG, x in [2.267, 2.615] mm",interior_dominant
phase,Tension_at_23C,MATRIX,volume_mm3,2.70449,,,,sum of IVOL over the phase,distributed
phase,Tension_at_23C,MATRIX,damg_mean,0.48308,,,,max of DMT/DMC,distributed
phase,Tension_at_23C,MATRIX,damg_p50,0.749671,,,,max of DMT/DMC,distributed
phase,Tension_at_23C,MATRIX,damg_p90,0.899997,,,,max of DMT/DMC,distributed
phase,Tension_at_23C,MATRIX,damg_p99,0.9,,,,max of DMT/DMC,distributed
phase,Tension_at_23C,MATRIX,damg_max,0.9,,,,max of DMT/DMC,distributed
phase,Tension_at_23C,MATRIX,volfrac_damg_ge_0.01,0.646632,,,,"max of DMT/DMC, volume-weighted",distributed
phase,Tension_at_23C,MATRIX,volfrac_damg_ge_0.10,0.622299,,,,"max of DMT/DMC, volume-weighted",distributed
phase,Tension_at_23C,MATRIX,volfrac_damg_ge_0.50,0.546996,,,,"max of DMT/DMC, volume-weighted",distributed
phase,Tension_at_23C,MATRIX,volfrac_damg_ge_0.90,0,,,,"max of DMT/DMC, volume-weighted",distributed
phase,Tension_at_23C,MATRIX,modefrac_11_matrix_tension,0.992031,,,,"DMODE 11 = matrix_tension, volume-weighted",distributed
phase,Tension_at_23C,MATRIX,modefrac_12_matrix_compression,0.00796909,,,,"DMODE 12 = matrix_compression, volume-weighted",distributed
phase,Tension_at_23C,YARN0,volume_mm3,0.670818,,,,sum of IVOL over the phase,distributed
phase,Tension_at_23C,YARN0,damg_mean,0.447487,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN0,damg_p50,0.455206,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN0,damg_p90,0.894182,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN0,damg_p99,0.89981,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN0,damg_max,0.962123,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN0,volfrac_damg_ge_0.01,0.74151,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_23C,YARN0,volfrac_damg_ge_0.10,0.683414,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_23C,YARN0,volfrac_damg_ge_0.50,0.494645,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_23C,YARN0,volfrac_damg_ge_0.90,0.00349757,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_23C,YARN0,modefrac_23_yarn_trans_tension,0.881444,,,,"DMODE 23 = yarn_trans_tension, volume-weighted",distributed
phase,Tension_at_23C,YARN0,modefrac_21_yarn_long_tension,0.113425,,,,"DMODE 21 = yarn_long_tension, volume-weighted",distributed
phase,Tension_at_23C,YARN0,modefrac_24_yarn_trans_compression,0.00513099,,,,"DMODE 24 = yarn_trans_compression, volume-weighted",distributed
phase,Tension_at_23C,YARN1,volume_mm3,0.671983,,,,sum of IVOL over the phase,distributed
phase,Tension_at_23C,YARN1,damg_mean,0.433611,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN1,damg_p50,0.415057,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN1,damg_p90,0.892035,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN1,damg_p99,0.899698,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN1,damg_max,0.960579,,,,max of DY1/DYT,distributed
phase,Tension_at_23C,YARN1,volfrac_damg_ge_0.01,0.738244,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_23C,YARN1,volfrac_damg_ge_0.10,0.67497,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_23C,YARN1,volfrac_damg_ge_0.50,0.466357,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_23C,YARN1,volfrac_damg_ge_0.90,0.00272545,,,,"max of DY1/DYT, volume-weighted",distributed
phase,Tension_at_23C,YARN1,modefrac_23_yarn_trans_tension,0.834016,,,,"DMODE 23 = yarn_trans_tension, volume-weighted",distributed
phase,Tension_at_23C,YARN1,modefrac_21_yarn_long_tension,0.16122,,,,"DMODE 21 = yarn_long_tension, volume-weighted",distributed
